date,open,high,low,close,closeadj,volume
2020-12-01,3,3.02,2.8,2.81,2.81,4464938
2020-12-02,2.82,2.836,2.74,2.77,2.77,3316053
2020-12-03,2.74,2.87,2.71,2.85,2.85,2918893
2020-12-04,2.87,3,2.75,2.76,2.76,4684755
2020-12-07,2.76,2.8,2.67,2.68,2.68,3420452
2020-12-08,2.68,2.71,2.65,2.66,2.66,2203605
2020-12-09,2.7,2.7,2.53,2.53,2.53,3159720
2020-12-10,2.53,2.54,2.411,2.46,2.46,4631276
2020-12-11,2.48,2.62,2.47,2.52,2.52,2396918
2020-12-14,2.56,2.57,2.36,2.36,2.36,3089421
2020-12-15,2.36,2.37,2.09,2.13,2.13,8687600
2020-12-16,2.12,2.17,2.03,2.07,2.07,5242131
2020-12-17,2.1,2.11,2.02,2.05,2.05,3023778
2020-12-18,2.06,2.99,2.04,2.59,2.59,25819603
2020-12-21,2.63,2.65,2.33,2.4,2.4,5660683
2020-12-22,2.41,2.44,2.23,2.26,2.26,4586481
2020-12-23,2.28,2.31,2.203,2.24,2.24,3876798
2020-12-24,2.25,2.289,2.13,2.13,2.13,2532473
2020-12-28,2.18,2.19,1.98,1.98,1.98,5835007
2020-12-29,2.08,2.17,2.02,2.05,2.05,4301814
2020-12-30,2.07,2.27,2.06,2.16,2.16,4386147
2020-12-31,2.21,2.21,2.02,2.04,2.04,4884036
2021-01-04,2.04,2.08,1.91,1.94,1.94,7502899
2021-01-05,1.97,2.1,1.92,2.07,2.07,4942786
2021-01-06,2.08,2.11,1.93,1.98,1.98,5263758
2021-01-07,2.01,2.05,1.94,1.99,1.99,4587572
2021-01-08,2,2.09,1.94,1.98,1.98,7280821
2021-01-11,1.98,2.15,1.96,2.05,2.05,4718412
2021-01-12,2.1,2.16,2.04,2.14,2.14,4523995
2021-01-13,2.15,2.16,2.04,2.05,2.05,5308670
2021-01-14,2.06,2.115,2.04,2.09,2.09,3272536
2021-01-15,2.09,2.1,2,2.01,2.01,2951929
2021-01-19,2.04,2.16,1.98,2.05,2.05,7576347
